DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3nc4ccc(cc4s3)OC,7.00436480540245,85.25000000000001,422.5100000000001,4.919800000000003,2,6,5,4,10,2,22,22,4,3,0
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3nc4ccccc4s3,7.00436480540245,76.02000000000001,392.48400000000004,4.911200000000003,2,5,4,4,8,2,20,21,4,2,0
CC(C)N(C(C)C)C(=O)Cc1c(c2ccccc2[nH]c1=O)O,7.00436480540245,73.4,302.374,2.4216,2,3,4,2,10,2,22,17,2,3,0
CC(C)OCCCN(Cc1ccco1)C(=O)Nc2cn(c(=O)c3c2cccc3)C,7.00436480540245,76.71000000000001,397.47500000000014,3.9807000000000023,1,5,8,3,13,2,27,22,3,4,0
CC(C)Oc1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4c[nH]cn4,8.854775904125315,100.21,501.56200000000024,4.478000000000002,2,5,10,4,15,2,28,28,5,3,1
CC(C)Oc1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4cnc[nH]4,8.854775904125315,100.21000000000001,501.56200000000024,4.478000000000002,2,5,10,4,15,2,28,28,5,3,1
CC(C)c1ccncc1NC(=O)Cc2cccc(c2)Cl,7.578772256053196,41.99,288.77799999999996,4.039600000000003,1,2,4,2,8,1,17,16,2,1,0
CC(CCc1ccccc1)N2CCN(CC2)C(=O)CCl,7.867003422645561,23.55,294.8259999999999,2.3907000000000007,0,2,5,1,14,1,23,16,2,1,0
CC(CCc1ccco1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,7.00436480540245,76.27000000000001,339.39500000000004,3.274300000000001,2,4,5,3,9,2,21,19,3,3,0
CC(COc1ccccc1OC)NC(=O)c2cc(=O)[nH]c3c2cc(cc3)F,7.561073267357958,80.41999999999999,370.38000000000005,2.873100000000001,2,4,6,3,10,2,19,20,2,4,1
CC(Cn1ccnc1C#N)c2cccc(c2)Cl,7.00436480540245,41.61,245.713,3.2118800000000016,0,3,3,2,6,0,12,13,3,0,0
