DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(Cl)c(C)c3)cc2C)c(O)c1,-9.2,37.3,404.937,7.1508,1,2,10,3,36,2,25,26,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C=CC(=O)O)cc3)cc2C)c(O)c1,-9.4,74.6,426.512,6.28678,2,4,11,3,38,4,26,28,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C=O)cc3)cc2C)c(O)c1,-8.5,54.37,384.475,6.00148,1,3,10,3,34,3,24,26,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C#Cc3ccc(O)cc3)cc2C)c(O)c1,-9.3,57.53,396.486,5.62738,2,3,9,3,35,2,24,27,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(CBr)cc2C)c(O)c1,-7.9,37.3,373.29,5.41688,1,2,9,2,31,2,21,20,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3ccccc3C#N)cc2C)c(O)c1,-9.0,61.09,407.513,6.56406,1,3,10,3,36,3,25,28,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C=CC(=O)O)cc3F)cc2C)c(O)c1,-9.1,74.6,444.502,6.42588,2,4,11,3,38,4,25,28,0,4,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C[n+]3ccccc3)cc2C)c(O)c1,-8.3,41.18,372.488,4.85778,1,2,10,3,36,2,26,25,1,2,0
COCC#Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.4,46.53,348.442,4.51988,1,3,10,2,36,2,24,23,0,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(Cl)cc3)cc2C(C)(C)C)c(O)c1,-8.9,37.3,432.991,7.83146,1,2,8,3,42,2,29,28,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(Nc3ccccc3)cc2C)c(O)c1,-8.5,49.33,371.48,6.26558,2,3,10,3,35,2,25,25,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C(C#N)C#N)cc2C)c(O)c1,-8.3,84.88,344.414,4.65274,1,4,9,2,31,2,20,22,2,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(OC(=O)CC#N)cc3)cc2C)c(O)c1,-9.4,87.39,439.511,6.00806,1,5,11,3,38,3,25,28,1,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=Cc3cccc(C(=O)O)c3)cc2C)c(O)c1,-9.4,74.6,426.512,6.39058,2,4,11,3,38,4,26,28,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C(=O)Oc4c(C)cccc4Cl)cc3)cc2C)c(O)c1,-9.2,63.6,525.044,8.37,1,4,12,4,43,3,29,33,0,4,0
CC=CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.5,37.3,334.459,5.64058,1,2,11,2,37,3,26,23,0,2,0
COC(=O)C(C)=CC=Cc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.2,63.6,404.506,5.65448,1,4,13,2,42,5,28,26,0,4,0
CC(C)=CCc1cc(C)cc(C)c1C=CC(=O)c1c(C)cc(C)cc1O,-8.9,37.3,348.486,6.03068,1,2,12,2,40,3,28,24,0,2,0
